33.00,21.25,139.99,20.07,19.80,19.52,19.25,18.98,18.70,18.43,18.15,17.97,17.60,17.32,17.05,16.77,16.50,16.23,15.95,44.00,
1.10,0.57,111.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,
2.20,0.52,102.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.73,
3.30,0.47,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.47,
4.40,0.42,85.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,
5.50,0.36,76.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.93,
6.60,0.31,68.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.67,
7.70,0.26,59.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.40,
8.80,0.21,51.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13,
9.90,0.16,42.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.87,
11.00,0.10,34.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,
12.17,0.12,25.70,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.26,0.01,0.01,0.02,0.03,0.03,0.04,0.05,18.39,
13.24,1.56,17.13,0.08,0.12,0.16,0.20,0.23,0.27,0.31,0.35,0.40,0.43,0.47,0.51,0.55,0.58,0.62,0.66,19.77,
14.30,0.05,8.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,
0.00,6.51,256.37,15.21,21.07,26.93,32.79,38.65,44.51,50.36,56.22,62.11,67.94,73.80,79.66,85.52,91.38,97.24,103.10,22.00,
